,features_importance
volume,-0.00012212356332439285
turn,0.00014340516136006023
pre_close,-0.00039159315811354437
open,-0.0013603300938017859
low,-0.0007501440077600286
high,-0.0006179681977042584
avg_price,-0.0006573658379628573
amount,0.001238358819004904
alpha9t-9,0.0005453230000499354
alpha9t-8,8.538470767725619e-05
alpha9t-7,0.0004735174618735821
alpha9t-6,0.0008704257563781463
alpha9t-5,-0.000970461137581014
alpha9t-4,-0.00010852173341512988
alpha9t-3,0.00030490728374837927
alpha9t-20,-4.1280873144568676e-05
alpha9t-2,0.00011214961836728896
alpha9t-19,-0.00025322249157537686
alpha9t-18,0.0010879149993363937
alpha9t-17,-0.0011999386857592777
alpha9t-16,0.0007778613685521209
alpha9t-15,0.0007605256505676864
alpha9t-14,0.00021356975625529457
alpha9t-13,2.168416142322321e-05
alpha9t-12,-0.0007599373816415904
alpha9t-11,0.0006134880994334605
alpha9t-10,-0.001674147728965869
alpha9t-1,0.0004997718906986136
alpha9t,0.0004997718906992861
alpha98t-9,-0.0007832230327394539
alpha98t-8,0.00013779904234417501
alpha98t-7,0.0005374739257038684
alpha98t-6,-0.0001626842535793819
alpha98t-5,-0.00039482879017936905
alpha98t-4,0.00047418564303693795
alpha98t-3,-0.0011451613799490243
alpha98t-20,0.000158378156097656
alpha98t-2,0.0013765623434160437
alpha98t-19,0.00020777093586422094
alpha98t-18,-0.0006705613686742604
alpha98t-17,0.00036394050105299195
alpha98t-16,-7.845967141124953e-05
alpha98t-15,0.0007242868339767863
alpha98t-14,0.0007879958289787492
alpha98t-13,-0.00013969781337019575
alpha98t-12,-0.0003183844980490011
alpha98t-11,-0.0013416950580058364
alpha98t-10,0.0016562860089178247
alpha98t-1,1.33934855324316e-05
alpha98t,1.3393485532176732e-05
alpha97t-9,-2.7952262231357972e-05
alpha97t-8,0.001084582916391142
alpha97t-7,-0.00020243308610754028
alpha97t-6,-0.000705418055309825
alpha97t-5,-0.0001526350588022449
alpha97t-4,-5.574841757723917e-05
alpha97t-3,0.0006898111365687251
alpha97t-20,0.0007848934251791714
alpha97t-2,-0.0008694506873137
alpha97t-19,-0.0001663330001484368
alpha97t-18,0.00026936755519174307
alpha97t-17,-0.0013358905768336659
alpha97t-16,0.001266292530997657
alpha97t-15,0.0005177708873565449
alpha97t-14,0.0006037341754666797
alpha97t-13,0.0001963927035253313
alpha97t-12,0.00038642270734109236
alpha97t-11,-0.0016405969341927369
alpha97t-10,0.0005029605464262355
alpha97t-1,-0.00045324901330836
alpha97t,-0.000453249013308206
alpha96t-9,0.0014097528140152183
alpha96t-8,-0.0004000047721727623
alpha96t-7,-0.00013222903526578987
alpha96t-6,0.00026119955553845046
alpha96t-5,-0.00041798623455107346
alpha96t-4,-0.00023851636257460335
alpha96t-3,0.0008525072167066786
alpha96t-20,-0.000444689714059159
alpha96t-2,-0.0011492217298827434
